Vehicle ID,Car Sensor Type,Sensor Status,Speed (km/h),Location,Battery Level (%),Connection Type,Event Logs,Vehicle Usage,Attack Type,Protocol,Label
VID2509,GPS,Disabled,31,"(74.53693, 48.51755)",89,Cellular,66,Weekly,Spoofing,Wi-Fi,compromised
VID8950,GPS,Normal,71,"(70.24683, 43.10803)",70,Bluetooth,21,Weekly,None,None,normal
VID1986,Radar,Faulty,62,"(15.3094, 52.7366)",84,Cellular,77,Daily,Spoofing,TCP,compromised
VID5446,ECU,Normal,15,"(87.04877, 32.60894)",85,Wi-Fi,43,Weekly,None,None,normal
VID5644,LIDAR,Faulty,112,"(55.64172, 36.2035)",47,Bluetooth,85,Occasionally,MITM,Zigbee,compromised
VID4769,ECU,Faulty,14,"(13.63679, 30.62796)",42,Bluetooth,39,Weekly,DDoS,TCP,compromised
VID8130,Radar,Disabled,26,"(39.30842, 83.91551)",22,Bluetooth,6,Daily,None,None,normal
VID7272,LIDAR,Disabled,25,"(78.20916, 41.36078)",91,Cellular,99,Weekly,None,None,compromised
VID4470,Radar,Disabled,114,"(24.10953, 58.40761)",29,Bluetooth,29,Weekly,None,None,normal
VID2087,Radar,Normal,107,"(77.56971, 24.91588)",67,Cellular,78,Occasionally,None,None,compromised
VID6940,Camera,Faulty,44,"(88.94757, 11.8731)",89,Wi-Fi,98,Weekly,MITM,Zigbee,compromised
VID7947,GPS,Normal,57,"(10.8958, 37.87242)",50,Cellular,9,Weekly,None,None,normal
VID1626,Camera,Disabled,100,"(72.76514, 40.6043)",24,Cellular,8,Daily,None,None,normal
VID6623,ECU,Normal,27,"(70.66115, 60.9382)",78,Bluetooth,33,Weekly,None,None,normal
VID9368,LIDAR,Normal,67,"(68.18114, 58.95491)",75,Bluetooth,77,Weekly,None,None,compromised
VID5039,Radar,Normal,12,"(74.01053, 32.03374)",65,Bluetooth,47,Weekly,None,None,normal
VID5596,Camera,Normal,18,"(86.37298, 66.85624)",85,Bluetooth,41,Daily,None,None,normal
VID9199,LIDAR,Disabled,45,"(27.16287, 32.54449)",30,Wi-Fi,3,Occasionally,None,None,normal
VID4232,ECU,Faulty,61,"(18.12562, 27.98326)",35,Cellular,98,Daily,Jamming,TCP,compromised
VID1791,Radar,Disabled,26,"(74.37089, 72.73111)",22,Bluetooth,67,Daily,Spoofing,Wi-Fi,compromised
VID4439,GPS,Disabled,72,"(69.15941, 52.03808)",48,Cellular,21,Occasionally,None,None,normal
VID6110,LIDAR,Disabled,20,"(35.85887, 59.66362)",21,Cellular,36,Daily,None,None,normal
