Device ID,Device Name,Battery Status (%),Device Temperature (°C),Event Logs,Connectivity Status,Alert Response Time (ms),Firmware Vulnerabilities,Calibration Status,Maintenance Status,Patient Criticality,Label,Attack Type,Protocol
ID1405,Infusion Pump,1,32.5,118,Poor,45,6,Yes,Yes,Low,Compromised,MITM,Bluetooth
ID8645,Ventilator,83,46.3,143,Poor,22,1,Yes,No,Low,Compromised,MITM,Wi-Fi
ID1328,Glucose Monitor,62,44.1,18,Good,18,4,No,No,Low,Normal,None,None
ID9861,Infusion Pump,41,34.5,32,Good,25,2,Yes,Yes,High,Normal,None,None
ID6261,ECG Machine,70,45.2,15,Disconnected,60,7,No,Yes,High,Compromised,Spoofing,Wi-Fi
ID1189,Heart Rate Monitor,27,47.4,118,Poor,31,7,No,Yes,Medium,Compromised,MITM,TCP
ID2290,Infusion Pump,12,32.5,110,Poor,19,3,No,No,Low,Compromised,Spoofing,Wi-Fi
ID3868,ECG Machine,61,49.5,29,Disconnected,46,9,No,Yes,Low,Compromised,Spoofing,TCP
ID1959,ECG Machine,2,47.5,125,Good,28,9,Yes,Yes,Medium,Compromised,MITM,Bluetooth
ID5842,Patient Monitor,72,46.3,175,Poor,38,6,No,Yes,Low,Compromised,Spoofing,Wi-Fi
ID4182,Patient Monitor,74,48.4,78,Disconnected,14,10,No,No,Low,Compromised,MITM,Bluetooth
ID4577,Ventilator,9,32.7,16,Poor,27,1,No,Yes,Medium,Compromised,MITM,TCP
ID1872,Infusion Pump,99,42.1,42,Poor,30,7,Yes,Yes,Medium,Normal,None,None
ID7678,Ventilator,93,35.3,90,Poor,40,2,No,No,Low,Normal,None,None
ID7666,Ventilator,82,40.7,62,Poor,35,0,Yes,No,High,Normal,None,None
ID7996,Heart Rate Monitor,74,37.1,33,Poor,25,1,Yes,No,Medium,Normal,None,None
ID1953,Infusion Pump,37,48.0,3,Good,13,2,No,Yes,Low,Normal,None,None
ID4228,Glucose Monitor,8,39.2,24,Poor,20,9,No,No,Medium,Compromised,DDoS,TCP
ID5838,ECG Machine,14,40.3,63,Good,29,9,Yes,Yes,Medium,Compromised,MITM,Bluetooth
ID6499,Heart Rate Monitor,81,35.6,4,Poor,7,5,No,No,Low,Normal,None,None
ID7460,Ventilator,90,37.1,88,Poor,26,6,Yes,Yes,Low,Normal,None,None
ID9250,Heart Rate Monitor,81,34.9,26,Good,41,1,Yes,No,Low,Normal,None,None
ID8131,Heart Rate Monitor,58,43.9,177,Poor,24,0,No,No,Low,Normal,None,None
ID5034,Patient Monitor,56,33.5,32,Poor,24,3,Yes,Yes,High,Normal,None,None
ID3049,Ventilator,64,30.8,168,Disconnected,28,5,No,No,Medium,Normal,None,None
ID7591,Ventilator,74,46.4,56,Disconnected,29,7,No,Yes,High,Compromised,DDoS,UDP
ID4352,Infusion Pump,43,47.6,85,Good,7,4,Yes,No,High,Normal,None,None
ID7499,Glucose Monitor,74,30.3,64,Good,29,6,No,No,Medium,Normal,None,None
ID8279,Heart Rate Monitor,83,39.0,79,Disconnected,16,9,Yes,Yes,Medium,Normal,None,None
ID5146,Glucose Monitor,63,31.0,122,Good,33,3,No,No,Medium,Normal,None,None
ID9481,Heart Rate Monitor,66,47.6,164,Poor,6,0,Yes,Yes,High,Compromised,MITM,UDP
ID7963,Infusion Pump,65,36.9,96,Disconnected,53,3,Yes,Yes,Low,Compromised,DDoS,UDP
ID4495,Infusion Pump,48,35.9,91,Poor,23,2,Yes,Yes,Low,Normal,None,None
ID3168,Glucose Monitor,16,30.2,57,Disconnected,18,5,Yes,No,Low,Compromised,MITM,TCP
ID1967,Infusion Pump,53,42.8,2,Disconnected,38,8,No,Yes,Low,Normal,None,None
ID3495,Patient Monitor,40,48.9,13,Disconnected,32,5,No,Yes,Low,Compromised,MITM,Wi-Fi
ID9196,Patient Monitor,80,36.7,142,Good,43,10,Yes,Yes,Medium,Compromised,DDoS,Bluetooth
ID3544,Heart Rate Monitor,92,31.8,51,Good,28,6,Yes,Yes,High,Normal,None,None
ID7501,Patient Monitor,11,40.4,7,Good,37,6,Yes,No,Medium,Compromised,Spoofing,UDP
ID2632,Infusion Pump,75,37.1,77,Poor,55,4,No,No,Low,Compromised,DDoS,UDP
ID5606,Patient Monitor,57,48.1,192,Good,10,10,No,Yes,High,Compromised,Spoofing,UDP
ID9646,Patient Monitor,30,43.1,113,Good,41,4,No,No,High,Normal,None,None
ID1509,Infusion Pump,95,42.2,185,Disconnected,15,3,No,No,Medium,Normal,None,None
ID8885,Glucose Monitor,72,36.9,55,Good,6,4,No,No,Low,Normal,None,None
ID7846,ECG Machine,29,47.8,29,Good,15,3,Yes,No,High,Normal,None,None
ID1035,ECG Machine,51,32.4,117,Poor,54,0,Yes,Yes,Medium,Compromised,MITM,TCP
ID9640,Heart Rate Monitor,100,48.7,124,Disconnected,60,7,No,No,Low,Compromised,Spoofing,Wi-Fi
ID5037,Heart Rate Monitor,72,32.2,94,Disconnected,14,8,Yes,No,High,Normal,None,None
ID5237,Glucose Monitor,47,40.0,128,Good,31,0,No,Yes,High,Normal,None,None
ID7281,Infusion Pump,53,37.4,143,Good,37,1,Yes,Yes,Low,Normal,None,None
ID1217,Ventilator,24,30.5,94,Poor,47,9,Yes,Yes,High,Compromised,MITM,UDP
ID7446,Infusion Pump,27,48.9,43,Poor,54,6,No,Yes,Low,Compromised,Spoofing,Bluetooth
ID6491,Infusion Pump,46,38.4,129,Poor,52,0,Yes,Yes,Low,Compromised,DDoS,Bluetooth
ID6329,Ventilator,34,47.1,131,Good,46,9,No,No,Medium,Compromised,MITM,Wi-Fi
ID9385,Patient Monitor,2,49.5,163,Good,51,7,Yes,Yes,Medium,Compromised,DDoS,TCP
ID9926,ECG Machine,54,39.0,174,Good,30,1,No,No,High,Compromised,Spoofing,Wi-Fi
ID8156,Heart Rate Monitor,71,45.9,85,Disconnected,14,4,No,No,Medium,Compromised,MITM,UDP
ID4278,Glucose Monitor,93,42.1,42,Disconnected,11,5,No,No,Medium,Normal,None,None
ID2818,Heart Rate Monitor,18,33.9,143,Disconnected,33,7,No,Yes,Medium,Compromised,Spoofing,Bluetooth
ID9215,Infusion Pump,30,49.5,191,Poor,6,1,Yes,No,Medium,Compromised,DDoS,UDP
ID7273,Glucose Monitor,10,48.0,58,Poor,35,2,No,Yes,High,Compromised,DDoS,UDP
ID3637,Glucose Monitor,14,33.6,48,Good,35,1,Yes,Yes,Low,Normal,None,None
ID1772,Ventilator,8,33.6,148,Poor,60,7,Yes,Yes,Medium,Compromised,DDoS,Bluetooth
ID8727,Infusion Pump,45,39.0,5,Poor,26,10,No,No,Medium,Normal,None,None
ID9380,Glucose Monitor,46,48.8,73,Disconnected,30,9,No,Yes,High,Compromised,Spoofing,Wi-Fi
ID2051,ECG Machine,70,45.3,64,Poor,55,8,No,Yes,High,Compromised,Spoofing,UDP
ID3214,Glucose Monitor,41,48.9,26,Good,47,2,No,Yes,Low,Normal,None,None
ID6606,Ventilator,32,46.0,22,Good,34,6,Yes,No,High,Compromised,Spoofing,Bluetooth
ID8062,Ventilator,4,41.5,84,Good,11,9,No,Yes,Low,Compromised,DDoS,TCP
ID8383,Ventilator,69,31.5,146,Poor,8,8,Yes,Yes,High,Normal,None,None
ID7460,Infusion Pump,25,39.9,10,Disconnected,13,10,No,Yes,Medium,Normal,None,None
ID7723,Ventilator,59,35.3,78,Disconnected,10,9,Yes,Yes,Low,Normal,None,None
ID8041,Patient Monitor,78,43.2,71,Good,57,9,Yes,Yes,Low,Compromised,Spoofing,Wi-Fi
ID6337,Glucose Monitor,17,34.7,164,Good,37,2,Yes,No,High,Compromised,Spoofing,UDP
ID1865,Ventilator,37,38.6,5,Poor,34,6,Yes,Yes,Medium,Normal,None,None
ID6582,ECG Machine,84,39.0,58,Good,14,8,No,Yes,High,Normal,None,None
ID1020,Patient Monitor,90,35.2,69,Good,56,2,Yes,No,Medium,Normal,None,None
ID7755,Ventilator,28,43.4,129,Good,44,4,No,Yes,Medium,Normal,None,None
ID4396,Ventilator,82,46.8,93,Poor,36,7,No,No,Low,Compromised,DDoS,UDP
ID8151,Patient Monitor,85,37.1,10,Poor,57,7,No,No,Medium,Compromised,Spoofing,UDP
ID8388,Heart Rate Monitor,64,41.6,59,Disconnected,36,7,Yes,Yes,High,Normal,None,None
ID2204,ECG Machine,29,48.6,198,Disconnected,11,9,Yes,Yes,Medium,Compromised,Spoofing,Wi-Fi
ID7355,Patient Monitor,24,31.7,101,Good,36,0,No,Yes,High,Normal,None,None
ID9180,Infusion Pump,57,32.2,106,Good,40,6,Yes,Yes,High,Normal,None,None
ID2577,ECG Machine,69,43.7,59,Good,49,2,No,No,Low,Normal,None,None
ID9714,ECG Machine,66,36.2,12,Poor,16,9,Yes,Yes,Medium,Normal,None,None
ID3871,Patient Monitor,68,30.2,86,Disconnected,26,8,No,No,Low,Normal,None,None
ID1680,Glucose Monitor,82,31.8,8,Good,60,5,No,No,Low,Normal,None,None
ID3306,Ventilator,90,44.8,58,Poor,5,10,No,No,Medium,Normal,None,None
ID6295,Glucose Monitor,74,33.5,40,Disconnected,49,8,Yes,Yes,Low,Compromised,MITM,UDP
ID7311,Ventilator,38,39.8,18,Poor,13,2,Yes,Yes,Medium,Normal,None,None
ID6390,Ventilator,92,34.1,79,Good,28,5,No,No,Low,Normal,None,None
ID6204,Infusion Pump,86,46.9,47,Disconnected,55,5,Yes,No,Low,Compromised,MITM,Bluetooth
ID4581,Glucose Monitor,88,39.3,90,Good,31,4,No,No,Low,Normal,None,None
ID5877,Heart Rate Monitor,9,44.1,44,Poor,42,7,Yes,No,Medium,Compromised,Spoofing,Bluetooth
ID2402,Ventilator,28,45.9,176,Disconnected,41,10,No,Yes,High,Compromised,MITM,Wi-Fi
ID1522,Patient Monitor,12,32.2,16,Good,8,8,No,No,Medium,Compromised,DDoS,Wi-Fi
ID1400,ECG Machine,53,44.0,72,Poor,59,2,No,No,High,Compromised,Spoofing,Bluetooth
ID3565,Glucose Monitor,16,47.2,89,Poor,29,1,Yes,Yes,Low,Compromised,DDoS,Wi-Fi
ID3143,Heart Rate Monitor,47,31.7,36,Poor,6,1,No,Yes,High,Normal,None,None
ID4032,Heart Rate Monitor,61,31.8,36,Disconnected,43,7,Yes,Yes,Low,Compromised,DDoS,Wi-Fi
ID7191,Heart Rate Monitor,61,34.6,128,Good,44,3,Yes,Yes,Medium,Normal,None,None
ID6612,Infusion Pump,75,39.9,141,Disconnected,43,6,No,Yes,Low,Compromised,DDoS,UDP
ID9464,Glucose Monitor,40,41.1,3,Good,37,9,Yes,Yes,Medium,Normal,None,None
ID4947,Glucose Monitor,57,34.9,94,Poor,9,7,No,No,Low,Normal,None,None
ID8872,ECG Machine,29,49.7,46,Good,34,10,Yes,No,Medium,Compromised,Spoofing,TCP
ID5837,Ventilator,69,35.0,48,Poor,43,7,No,No,High,Compromised,DDoS,UDP
ID2853,Heart Rate Monitor,85,37.6,78,Poor,19,9,No,Yes,Medium,Normal,None,None
ID4045,Ventilator,15,35.6,59,Poor,38,7,Yes,Yes,Medium,Compromised,Spoofing,Bluetooth
ID7609,Ventilator,35,33.3,169,Good,57,8,No,Yes,High,Compromised,MITM,Bluetooth
ID4929,Ventilator,20,43.0,18,Poor,37,10,Yes,No,High,Normal,None,None
ID9625,Heart Rate Monitor,10,40.1,87,Disconnected,59,3,No,No,Medium,Compromised,DDoS,Wi-Fi
ID9824,ECG Machine,21,38.1,141,Good,35,5,Yes,Yes,High,Normal,None,None
ID5206,Glucose Monitor,33,47.8,144,Poor,32,6,Yes,Yes,High,Compromised,MITM,Bluetooth
ID9745,Patient Monitor,90,41.3,124,Disconnected,32,1,Yes,No,Medium,Normal,None,None
ID2411,Glucose Monitor,70,30.1,11,Poor,34,10,Yes,Yes,High,Normal,None,None
ID5706,Ventilator,81,33.3,40,Good,6,6,No,Yes,High,Normal,None,None
ID2270,Patient Monitor,46,47.9,179,Good,20,7,Yes,Yes,High,Compromised,DDoS,TCP
ID7547,ECG Machine,45,37.2,56,Disconnected,19,7,Yes,Yes,Medium,Normal,None,None
ID7104,Ventilator,34,40.8,94,Good,40,10,No,Yes,Medium,Normal,None,None
ID5398,Infusion Pump,58,36.2,77,Disconnected,37,8,No,Yes,Low,Normal,None,None
ID3154,Heart Rate Monitor,70,39.5,105,Poor,37,0,Yes,Yes,Medium,Normal,None,None
ID9028,Patient Monitor,33,34.0,122,Good,21,9,Yes,No,Medium,Normal,None,None
ID5838,Patient Monitor,18,36.6,193,Good,56,6,Yes,Yes,High,Compromised,DDoS,Bluetooth
ID9585,Glucose Monitor,19,33.0,191,Good,26,2,No,Yes,High,Compromised,MITM,TCP
ID2193,Ventilator,91,34.5,47,Poor,9,5,Yes,No,Low,Normal,None,None
ID7317,Patient Monitor,32,41.8,54,Good,16,7,No,Yes,Medium,Normal,None,None
ID2289,Infusion Pump,34,40.3,114,Poor,27,5,No,Yes,High,Normal,None,None
ID3317,Glucose Monitor,86,36.1,53,Disconnected,48,4,No,Yes,High,Compromised,MITM,UDP
ID3104,Heart Rate Monitor,82,42.9,7,Poor,18,10,Yes,Yes,Medium,Normal,None,None
ID3019,Infusion Pump,11,46.8,144,Disconnected,48,7,Yes,Yes,Low,Compromised,DDoS,UDP
ID6003,Glucose Monitor,27,40.4,125,Good,47,8,No,No,Medium,Compromised,DDoS,TCP
ID1315,Glucose Monitor,67,30.0,109,Good,34,0,Yes,Yes,High,Normal,None,None
ID6119,Glucose Monitor,84,34.6,45,Disconnected,14,0,No,Yes,Low,Normal,None,None
ID7598,Glucose Monitor,36,32.0,108,Poor,8,0,Yes,Yes,High,Normal,None,None
ID5759,Infusion Pump,79,42.3,65,Good,52,1,Yes,Yes,Medium,Normal,None,None
