Device ID,Device Name,Battery Level (%),Temperature (°C),Signal Strength (%),Operational Hours,Maintenance Status,Criticality Level,Threat Detection Alerts,Firmware Vulnerabilities,Environment Type,Service Interval (days),Event Logs,Calibration Status,Device Health
ID9785,Body Armor Sensor,25,-8,30,201,No,High,67,5,Forest,52,152,Yes,compromised
ID1073,Body Armor Sensor,83,18,99,259,Yes,Medium,19,0,Arctic,133,79,Yes,normal
ID7299,Communication Equipment,38,42,23,168,Yes,High,25,3,Forest,113,103,Yes,compromised
ID5301,Body Armor Sensor,28,25,87,462,Yes,Low,21,3,Desert,73,48,Yes,normal
ID9460,Body Armor Sensor,70,49,56,332,Yes,Low,28,2,Forest,129,23,No,compromised
ID5131,Weapon System,12,8,94,351,Yes,Low,87,1,Arctic,131,76,Yes,compromised
ID6283,Surveillance Camera,45,12,33,282,Yes,Low,36,3,Desert,158,76,Yes,normal
ID4883,Body Armor Sensor,42,42,43,136,Yes,Medium,77,1,Urban,33,17,No,compromised
ID3126,Unmanned Ground Vehicle,65,19,68,361,Yes,Low,7,1,Desert,81,28,Yes,normal
ID5232,Body Armor Sensor,59,47,66,116,No,High,64,1,Urban,134,136,Yes,compromised
ID3954,Surveillance Camera,65,26,99,452,Yes,Low,20,2,Urban,103,9,Yes,normal
ID5007,Weapon System,46,-5,29,451,Yes,Medium,42,4,Urban,58,68,No,compromised
ID7746,Surveillance Camera,50,1,67,148,No,Medium,79,1,Forest,77,168,No,compromised
ID2415,Communication Equipment,47,6,37,177,Yes,Medium,41,4,Arctic,175,97,Yes,normal
ID2594,Weapon System,83,10,43,120,Yes,Low,34,4,Forest,39,75,Yes,normal
ID9523,Surveillance Camera,91,42,33,207,Yes,Low,41,1,Urban,97,38,Yes,normal
ID6691,Drone,39,-9,71,498,Yes,Low,13,0,Desert,90,69,Yes,normal
ID7240,Radar System,77,46,69,480,Yes,Medium,18,2,Arctic,147,0,Yes,normal
ID8445,Drone,82,7,49,130,No,Medium,36,0,Urban,59,132,Yes,compromised
ID9744,Unmanned Ground Vehicle,65,11,85,412,Yes,Low,6,1,Arctic,129,163,No,compromised
ID6485,Unmanned Ground Vehicle,74,1,70,434,Yes,Medium,46,1,Arctic,179,9,Yes,normal
ID9438,Surveillance Camera,74,7,38,382,No,High,6,5,Forest,84,134,Yes,compromised
ID7487,Radar System,45,21,91,213,Yes,Medium,1,2,Arctic,124,76,No,compromised
ID1586,Radar System,64,13,61,153,No,Medium,10,2,Desert,161,119,No,compromised
ID9696,Weapon System,12,-4,40,365,No,Low,68,1,Desert,33,153,No,compromised
ID4728,Radar System,62,9,95,389,Yes,Medium,23,2,Desert,134,35,Yes,normal
ID3609,Radar System,60,13,55,499,Yes,High,57,1,Urban,76,127,Yes,compromised
ID7857,Weapon System,49,39,80,448,Yes,Medium,17,2,Desert,84,19,Yes,normal
ID7810,Radar System,82,18,82,271,Yes,High,48,5,Urban,143,30,Yes,normal
ID9188,Body Armor Sensor,52,0,56,347,Yes,High,9,1,Forest,116,16,Yes,normal
ID6537,Drone,60,50,80,140,Yes,Medium,16,3,Urban,136,62,Yes,normal
ID8163,Body Armor Sensor,91,58,100,250,No,Low,39,0,Urban,173,96,No,compromised
ID1442,Body Armor Sensor,68,-2,96,473,Yes,Medium,20,4,Urban,113,69,Yes,normal
ID2902,Drone,67,57,84,380,No,Low,45,4,Forest,44,130,No,compromised
ID7168,Unmanned Ground Vehicle,85,35,40,355,Yes,Medium,7,3,Arctic,73,18,No,compromised
ID8285,Surveillance Camera,59,-5,43,428,Yes,Medium,8,2,Desert,99,76,Yes,normal
ID4043,Body Armor Sensor,53,1,43,333,No,High,58,3,Urban,117,157,No,compromised
ID7027,Communication Equipment,86,-1,86,214,Yes,High,6,1,Forest,94,112,No,compromised
ID2018,Body Armor Sensor,54,9,90,181,No,Medium,19,1,Arctic,84,170,Yes,compromised
ID8217,Drone,89,-8,96,364,Yes,Low,34,1,Desert,126,51,Yes,normal
ID6574,Weapon System,85,27,59,368,Yes,High,23,5,Forest,153,17,Yes,normal
ID1336,Communication Equipment,31,36,32,108,No,Medium,98,2,Urban,90,100,No,compromised
ID3743,Communication Equipment,94,12,100,492,Yes,Medium,37,3,Urban,57,2,Yes,normal
ID4423,Drone,45,7,36,124,Yes,High,37,2,Arctic,55,33,Yes,normal
ID6302,Radar System,26,52,58,316,No,Low,45,3,Forest,166,51,Yes,compromised
ID9219,Drone,20,58,97,317,Yes,Medium,3,5,Urban,164,166,No,compromised
ID9395,Body Armor Sensor,72,1,64,436,Yes,Medium,30,3,Urban,152,87,Yes,normal
ID3905,Drone,20,0,41,498,Yes,Low,85,1,Arctic,163,105,Yes,compromised
ID4291,Radar System,90,6,92,237,Yes,Medium,22,5,Desert,139,78,Yes,normal
ID8210,Body Armor Sensor,79,28,88,407,Yes,Medium,12,0,Desert,115,158,Yes,compromised
ID1296,Radar System,78,-5,56,193,No,Low,31,4,Arctic,65,186,No,compromised
ID8280,Unmanned Ground Vehicle,48,36,81,364,Yes,High,12,5,Desert,144,54,Yes,normal
ID5290,Weapon System,18,2,85,426,Yes,Medium,9,2,Urban,34,49,No,compromised
ID4258,Radar System,50,-2,82,294,Yes,High,27,4,Urban,37,94,Yes,normal
ID4953,Unmanned Ground Vehicle,38,-10,86,297,Yes,Medium,30,1,Urban,53,59,Yes,normal
ID9365,Unmanned Ground Vehicle,41,59,74,213,Yes,High,79,0,Arctic,130,132,Yes,compromised
ID2684,Weapon System,93,10,50,324,Yes,Medium,36,0,Arctic,72,17,Yes,normal
ID3153,Surveillance Camera,46,30,81,353,No,Medium,61,1,Desert,64,21,No,compromised
ID3609,Drone,11,52,78,438,No,Medium,49,2,Desert,43,89,Yes,compromised
ID7275,Unmanned Ground Vehicle,99,39,53,444,Yes,Low,34,4,Arctic,160,0,Yes,normal
ID7200,Weapon System,59,14,60,239,No,Medium,44,0,Desert,47,139,Yes,compromised
ID3906,Weapon System,85,29,49,468,Yes,High,47,3,Forest,177,1,Yes,normal
ID7067,Drone,30,1,97,219,Yes,High,80,2,Urban,123,12,No,compromised
ID3507,Drone,69,23,21,430,No,High,42,3,Arctic,151,182,Yes,compromised
ID7562,Body Armor Sensor,40,39,35,183,Yes,High,65,5,Arctic,75,84,Yes,compromised
ID6315,Weapon System,51,-5,72,315,No,Low,51,4,Urban,145,136,Yes,compromised
ID8251,Radar System,81,40,75,163,Yes,Low,9,5,Desert,87,73,Yes,normal
ID2573,Radar System,84,46,73,392,No,High,22,4,Arctic,83,188,No,compromised
ID2963,Communication Equipment,50,24,59,496,Yes,Low,48,4,Desert,163,43,Yes,normal
ID7347,Communication Equipment,29,38,88,434,Yes,High,48,4,Urban,60,40,Yes,normal
ID1981,Drone,67,42,94,125,Yes,Low,14,1,Arctic,129,94,Yes,normal
ID3872,Radar System,49,22,38,310,Yes,High,50,0,Desert,42,71,Yes,normal
ID4378,Weapon System,25,13,77,482,Yes,Low,78,3,Arctic,125,177,Yes,compromised
ID1763,Unmanned Ground Vehicle,73,39,46,390,No,High,96,1,Urban,134,63,Yes,compromised
ID6505,Radar System,55,50,84,283,Yes,Low,42,1,Urban,104,8,Yes,normal
ID9139,Body Armor Sensor,58,49,47,270,Yes,Low,49,5,Desert,152,53,Yes,normal
ID6382,Body Armor Sensor,93,-10,61,105,Yes,High,71,5,Forest,68,114,Yes,compromised
ID8184,Body Armor Sensor,65,-10,99,221,Yes,High,44,3,Urban,31,84,Yes,normal
ID9334,Unmanned Ground Vehicle,67,12,56,393,Yes,High,14,1,Arctic,76,78,Yes,normal
ID4299,Body Armor Sensor,32,34,38,445,No,Medium,92,4,Arctic,151,25,Yes,compromised
ID5798,Body Armor Sensor,68,-3,73,259,Yes,High,35,2,Forest,46,62,Yes,normal
ID7313,Drone,73,54,81,461,Yes,Medium,26,3,Forest,57,167,No,compromised
ID9666,Radar System,82,52,27,291,No,Low,61,2,Desert,180,102,No,compromised
ID7231,Communication Equipment,32,25,27,299,No,Medium,70,2,Arctic,148,121,No,compromised
ID9346,Unmanned Ground Vehicle,86,27,98,327,No,High,41,0,Forest,113,197,Yes,compromised
ID9563,Drone,87,48,83,199,Yes,Medium,36,0,Urban,37,20,No,compromised
ID3394,Unmanned Ground Vehicle,49,17,63,195,No,High,83,2,Urban,109,21,Yes,compromised
ID3941,Weapon System,90,-1,64,396,Yes,Low,38,2,Arctic,64,10,Yes,normal
ID6427,Communication Equipment,78,29,46,357,Yes,High,4,3,Forest,114,6,Yes,normal
ID9884,Weapon System,65,54,31,220,No,Low,97,2,Forest,172,106,Yes,compromised
ID8321,Weapon System,12,50,57,239,No,Low,7,4,Forest,42,23,No,compromised
ID2970,Body Armor Sensor,90,38,42,418,Yes,Low,3,0,Desert,132,21,Yes,normal
ID6508,Radar System,25,20,60,225,Yes,Medium,20,4,Forest,150,23,Yes,normal
ID1419,Radar System,40,-6,45,411,Yes,Low,29,4,Arctic,149,37,Yes,normal
ID4979,Surveillance Camera,87,-4,63,417,Yes,High,2,3,Urban,82,132,No,compromised
ID1220,Unmanned Ground Vehicle,69,30,48,210,No,Medium,45,0,Forest,177,27,Yes,compromised
ID1227,Radar System,99,40,39,270,Yes,High,22,0,Forest,34,25,Yes,normal
ID8703,Unmanned Ground Vehicle,79,48,46,252,Yes,Low,47,0,Desert,164,107,Yes,compromised
ID6083,Unmanned Ground Vehicle,55,4,58,287,Yes,Low,16,5,Arctic,155,40,Yes,normal
ID3964,Unmanned Ground Vehicle,14,51,60,105,Yes,High,66,3,Desert,84,114,Yes,compromised
ID8938,Drone,77,28,23,122,Yes,High,64,2,Forest,139,87,No,compromised
ID8053,Body Armor Sensor,82,30,49,179,Yes,Low,0,0,Arctic,105,72,Yes,normal
ID2600,Drone,61,4,95,453,Yes,Medium,50,3,Arctic,163,21,Yes,normal
